x,y,LOCAL_DAY,DIRECTION_MAX_GUST,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,LOCAL_MONTH,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,STATION_NAME,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_SNOW,ID,TOTAL_PRECIPITATION,LOCAL_DATE,MAX_REL_HUMIDITY,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,PROVINCE_CODE,SPEED_MAX_GUST
-111.38333333333334,58.2,1,,3062360,,,,,,,2,-6.1,,,0,,,EMBARRAS A,33.3,-24.4,-15.3,0,3062360.1943.2.1,0,1943-02-01 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,2,,3062360,,,,,,,2,-15,,,0,,,EMBARRAS A,38.9,-26.7,-20.9,0,3062360.1943.2.2,0,1943-02-02 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,3,,3062360,,,,,,,2,-6.7,,,0,,,EMBARRAS A,37.5,-32.2,-19.5,0,3062360.1943.2.3,0,1943-02-03 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,4,,3062360,,,,,,,2,-5,,,0,,,EMBARRAS A,25.5,-10,-7.5,2,3062360.1943.2.4,2,1943-02-04 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,5,,3062360,,,,,,,2,-5.6,,,0,,,EMBARRAS A,28,-14.4,-10,0.3,3062360.1943.2.5,0.3,1943-02-05 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,6,,3062360,,,,,,,2,-20,,,0,,,EMBARRAS A,40.8,-25.6,-22.8,12.7,3062360.1943.2.6,12.7,1943-02-06 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,7,,3062360,,,,,,,2,-28.3,,,0,,,EMBARRAS A,48.8,-33.3,-30.8,0.3,3062360.1943.2.7,0.3,1943-02-07 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,8,,3062360,,,,,,,2,-30,,,0,,,EMBARRAS A,54.4,-42.8,-36.4,0,3062360.1943.2.8,0,1943-02-08 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,9,,3062360,,,,,,,2,-23.9,,,0,,,EMBARRAS A,50.8,-41.7,-32.8,0,3062360.1943.2.9,0,1943-02-09 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,10,,3062360,,,,,,,2,-16.1,,,0,,,EMBARRAS A,43.3,-34.4,-25.3,0,3062360.1943.2.10,0,1943-02-10 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,11,,3062360,,,,,,,2,-15.6,,,0,,,EMBARRAS A,36.9,-22.2,-18.9,1.5,3062360.1943.2.11,1.5,1943-02-11 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,12,,3062360,,,,,,,2,-21.1,,,0,,,EMBARRAS A,43,-28.9,-25,0,3062360.1943.2.12,0,1943-02-12 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,13,,3062360,,,,,,,2,-13.3,,,0,,,EMBARRAS A,38,-26.7,-20,1,3062360.1943.2.13,1,1943-02-13 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,14,,3062360,,,,,,,2,-11.7,,,0,,,EMBARRAS A,33.6,-19.4,-15.6,0.3,3062360.1943.2.14,0.3,1943-02-14 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,15,,3062360,,,,,,,2,-2.8,,,0,,,EMBARRAS A,33,-27.2,-15,0,3062360.1943.2.15,0,1943-02-15 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,16,,3062360,,,,,,,2,2.2,,,0,,,EMBARRAS A,25.3,-16.7,-7.3,0,3062360.1943.2.16,0,1943-02-16 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,17,,3062360,,,,,,,2,12.8,,,0,,,EMBARRAS A,13.2,-3.3,4.8,0,3062360.1943.2.17,0,1943-02-17 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,18,,3062360,,,,,,,2,12.2,,,0,,,EMBARRAS A,14.4,-5,3.6,0,3062360.1943.2.18,0,1943-02-18 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,19,,3062360,,,,,,,2,8.3,,,0,,,EMBARRAS A,18.6,-9.4,-0.6,0,3062360.1943.2.19,0,1943-02-19 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,20,,3062360,,,,,,,2,8.9,,,0,,,EMBARRAS A,16.9,-6.7,1.1,0,3062360.1943.2.20,0,1943-02-20 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,21,,3062360,,,,,,,2,5.6,,,0,,,EMBARRAS A,16.8,-3.3,1.2,0,3062360.1943.2.21,0,1943-02-21 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,22,,3062360,,,,,,,2,0.6,,,0,,,EMBARRAS A,21.9,-8.3,-3.9,1.8,3062360.1943.2.22,1.8,1943-02-22 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,23,,3062360,,,,,,,2,-7.8,,,0,,,EMBARRAS A,38.6,-33.3,-20.6,0,3062360.1943.2.23,0,1943-02-23 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,24,,3062360,,,,,,,2,0.6,,,0,,,EMBARRAS A,28.6,-21.7,-10.6,0,3062360.1943.2.24,0,1943-02-24 00:00:00,,1943,,,0,,,,AB,
-111.38333333333334,58.2,25,,3062360,,,,,,,2,9.4,,,0,,,EMBARRAS A,16.1,-5.6,1.9,0.3,3062360.1943.2.25,0.3,1943-02-25 00:00:00,,1943,,,0,,,,AB,
