x,y,WINDCHILL_FLAG,LOCAL_DAY,WIND_DIRECTION_FLAG,CLIMATE_IDENTIFIER,UTC_YEAR,PRECIP_AMOUNT_FLAG,WEATHER_ENG_DESC,LOCAL_MONTH,WEATHER_FRE_DESC,VISIBILITY_FLAG,HUMIDEX_FLAG,WIND_DIRECTION,STATION_PRESSURE,TEMP_FLAG,HUMIDEX,STATION_NAME,WINDCHILL,WIND_SPEED,DEW_POINT_TEMP,ID,LOCAL_DATE,LOCAL_YEAR,UTC_DAY,RELATIVE_HUMIDITY_FLAG,UTC_MONTH,UTC_DATE,DEW_POINT_TEMP_FLAG,STATION_PRESSURE_FLAG,RELATIVE_HUMIDITY,VISIBILITY,WIND_SPEED_FLAG,TEMP,PRECIP_AMOUNT,PROVINCE_CODE,LOCAL_HOUR
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,11,,,,CAMROSE,-12,7,-10.1,3011240.1994.2.1.0,1994-02-01 00:00:00,1994,1,,2,1994-02-01T07:00:00,,M,84,,,-7.9,,AB,0
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,20,,,,CAMROSE,-12,7,-10.4,3011240.1994.2.1.1,1994-02-01 01:00:00,1994,1,,2,1994-02-01T08:00:00,,M,85,,,-8.3,,AB,1
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,19,,,,CAMROSE,-15,9,-11.7,3011240.1994.2.1.2,1994-02-01 02:00:00,1994,1,,2,1994-02-01T09:00:00,,M,89,,,-10.3,,AB,2
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,20,,,,CAMROSE,-16,9,-12.0,3011240.1994.2.1.3,1994-02-01 03:00:00,1994,1,,2,1994-02-01T10:00:00,,M,92,,,-10.9,,AB,3
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,21,,,,CAMROSE,-17,11,-12.9,3011240.1994.2.1.4,1994-02-01 04:00:00,1994,1,,2,1994-02-01T11:00:00,,M,88,,,-11.3,,AB,4
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,21,,,,CAMROSE,-17,11,-13.0,3011240.1994.2.1.5,1994-02-01 05:00:00,1994,1,,2,1994-02-01T12:00:00,,M,85,,,-11.0,,AB,5
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,22,,,,CAMROSE,-16,11,-12.3,3011240.1994.2.1.6,1994-02-01 06:00:00,1994,1,,2,1994-02-01T13:00:00,,M,86,,,-10.4,,AB,6
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,23,,,,CAMROSE,-13,7,-11.4,3011240.1994.2.1.7,1994-02-01 07:00:00,1994,1,,2,1994-02-01T14:00:00,,M,86,,,-9.5,,AB,7
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,24,,,,CAMROSE,-14,15,-10.2,3011240.1994.2.1.8,1994-02-01 08:00:00,1994,1,,2,1994-02-01T15:00:00,,M,84,,,-7.9,,AB,8
-112.81666666666666,53.05,,1,,3011240,1994,,NA,2,ND,,,25,,,,CAMROSE,-14,19,-10.3,3011240.1994.2.1.9,1994-02-01 09:00:00,1994,1,,2,1994-02-01T16:00:00,,M,77,,,-6.9,,AB,9
